32, 12288, 12288, 0.5493ms, 17.5922Tflops
64, 12288, 12288, 0.5584ms, 34.6135Tflops
128, 12288, 12288, 0.5932ms, 65.1646Tflops
256, 12288, 12288, 0.7699ms, 100.4209Tflops
512, 12288, 12288, 1.4054ms, 110.0209Tflops
1024, 12288, 12288, 2.7173ms, 113.8051Tflops
2048, 12288, 12288, 5.3905ms, 114.7338Tflops
4096, 12288, 12288, 10.4494ms, 118.3752Tflops
8192, 12288, 12288, 20.7849ms, 119.0242Tflops
16384, 12288, 12288, 41.1353ms, 120.2811Tflops
32768, 12288, 12288, 81.4046ms, 121.5608Tflops
8192, 32, 32, 0.0333ms, 0.5044Tflops
8192, 64, 64, 0.0345ms, 1.9479Tflops
8192, 128, 128, 0.0396ms, 6.7825Tflops
8192, 256, 256, 0.0485ms, 22.1307Tflops
8192, 512, 512, 0.0863ms, 49.7635Tflops
8192, 1024, 1024, 0.1950ms, 88.0900Tflops
8192, 2048, 2048, 0.5822ms, 118.0305Tflops
8192, 4096, 4096, 2.2901ms, 120.0272Tflops
8192, 8192, 8192, 9.4150ms, 116.7826Tflops
8192, 16384, 16384, 36.7552ms, 119.6578Tflops
8192, 32768, 32768, 146.2553ms, 120.2841Tflops
